Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2024-01-01,VGK,UTA,0,6,A,0,4,A
2024-01-01,SEA,SJS,2,4,A,0,1,A
2024-01-01,DET,VAN,4,5,A,1,0,H
2024-01-01,BOS,MTL,6,3,H,3,0,H
2024-01-01,CHI,CBJ,3,6,A,1,2,A
2024-01-01,DAL,WPG,3,1,H,1,1,D
2024-01-01,ANA,OTT,3,3,D,2,1,H
2024-01-01,NYR,NJD,1,5,A,0,2,A
2024-01-01,TOR,CHI,4,1,H,1,0,H
2024-01-01,UTA,DAL,1,2,A,0,0,D
2024-01-01,BOS,DET,3,2,H,1,1,D
2024-01-01,BUF,COL,4,5,A,4,0,H
2024-01-01,MTL,NYI,2,1,H,0,0,D
2024-01-01,PIT,FLA,5,4,H,2,1,H
2024-01-01,WSH,SJS,1,2,A,0,1,A
2024-01-01,CAR,SEA,2,4,A,1,1,D
2024-01-01,MIN,VAN,3,2,H,0,1,A
2024-01-01,WPG,STL,1,4,A,0,0,D
2024-01-01,CGY,CBJ,3,0,H,0,0,D
2024-01-01,VGK,EDM,1,0,H,1,0,H
2024-01-01,TOR,NSH,3,2,H,0,1,A
2024-01-01,CHI,BOS,2,4,A,1,1,D
2024-01-01,ANA,VGK,1,4,A,0,1,A
2024-01-01,LAK,DAL,3,2,H,0,2,A
2024-01-01,BUF,WPG,2,3,A,2,1,H
2024-01-01,MTL,NSH,3,0,H,1,0,H
2024-01-01,OTT,DET,2,1,H,1,0,H
2024-01-01,TBL,SJS,8,1,H,5,0,H
2024-01-01,PHI,FLA,5,7,A,0,2,A
2024-01-01,CAR,COL,5,3,H,1,1,D
2024-01-01,NYI,SEA,2,5,A,0,2,A
2024-01-01,CGY,STL,3,4,A,1,2,A
2024-01-01,EDM,CBJ,6,3,H,1,1,D
2024-01-01,TOR,WSH,1,3,A,0,0,D
2024-01-01,NJD,SEA,3,2,H,1,1,D
2024-01-01,NYR,PIT,4,2,H,0,0,D
2024-01-01,VAN,CBJ,5,2,H,0,2,A
2024-01-01,VGK,DAL,3,2,H,1,0,H
2024-01-01,ANA,MIN,1,5,A,0,0,D
2024-01-01,BOS,PHI,4,3,H,0,2,A
2024-01-01,BUF,UTA,2,5,A,1,0,H
2024-01-01,CHI,WPG,2,4,A,2,1,H
2024-01-01,NYI,CAR,4,3,H,0,1,A
2024-01-01,FLA,SJS,3,1,H,1,0,H
2024-01-01,MTL,WSH,2,4,A,2,0,H
2024-01-01,OTT,NSH,3,1,H,0,0,D
2024-01-01,DET,COL,1,2,A,0,1,A
2024-01-01,PIT,TOR,5,2,H,2,1,H
2024-01-01,LAK,MIN,4,1,H,1,0,H
2024-01-01,EDM,STL,4,2,H,1,0,H
2024-01-01,NYR,SEA,5,7,A,1,0,H
2024-01-01,VAN,TBL,2,4,A,1,0,H
2024-01-01,OTT,NYI,2,4,A,1,2,A
2024-01-01,WPG,CBJ,1,4,A,0,0,D
2024-01-01,NJD,COL,0,4,A,0,2,A
2024-01-01,PHI,UTA,2,4,A,0,0,D
2024-01-01,DAL,CGY,6,2,H,1,1,D
2024-01-01,BUF,DET,5,5,D,3,2,H
2024-01-01,NYR,CHI,1,2,A,1,1,D
2024-01-01,MTL,ANA,2,2,D,1,1,D
2024-01-01,NJD,TOR,1,2,A,0,0,D
2024-01-01,PIT,COL,2,6,A,0,2,A
2024-01-01,CAR,SJS,3,2,H,1,1,D
2024-01-01,CBJ,PHI,3,5,A,0,2,A
2024-01-01,NYI,LAK,1,3,A,0,1,A
2024-01-01,NSH,CGY,3,4,A,2,1,H
2024-01-01,WPG,BOS,8,1,H,2,0,H
2024-01-01,EDM,TBL,2,1,H,1,0,H
2024-01-01,UTA,MIN,4,4,D,1,0,H
2024-01-01,VAN,STL,3,4,A,1,2,A
2024-01-01,SEA,FLA,1,1,D,1,0,H
2024-01-01,BUF,NYR,2,3,A,0,1,A
2024-01-01,OTT,ANA,5,1,H,3,0,H
2024-01-01,TOR,ANA,3,2,H,2,1,H
2024-01-01,MTL,PIT,2,9,A,1,1,D
2024-01-01,NJD,LAK,3,1,H,0,0,D
2024-01-01,PHI,DET,4,1,H,0,0,D
2024-01-01,CBJ,WSH,1,2,A,0,0,D
