Season,HomeTeam,AwayTeam,HomeScore,AwayScore,FTR
2024,Western Kentucky,Kennesaw State,31,14,H
2024,Charlotte,Tulane,3,34,A
2024,Connecticut,Georgia State,34,27,H
2024,Florida Atlantic,USF,21,44,A
2024,Boise State,San Diego State,56,24,H
2024,Arkansas,Ole Miss,31,63,A
2024,Illinois,Minnesota,17,25,A
2024,Army,Air Force,20,3,H
2024,Akron,Buffalo,30,41,A
2024,Eastern Michigan,Toledo,28,29,A
2024,Purdue,Northwestern,20,26,A
2024,Oklahoma,Maine,59,14,H
2024,UTSA,Memphis,44,36,H
2024,NC State,Stanford,59,28,H
2024,Miami (FL),Duke,53,31,H
2024,Penn State,Ohio State,13,20,A
2024,Syracuse,Virginia Tech,38,31,H
2024,Auburn,Vanderbilt,7,17,A
2024,Appalachian State,Old Dominion,28,20,H
2024,UAB,Tulsa,59,21,H
2024,Nebraska,UCLA,20,27,A
2024,Florida State,North Carolina,11,35,A
2024,Oklahoma State,Arizona State,21,42,A
2024,Iowa State,Texas Tech,22,23,A
2024,Marshall,UL-Monroe,28,23,H
2024,UCF,Arizona,56,12,H
2024,Georgia,Florida,34,20,H
2024,Michigan,Oregon,17,38,A
2024,UTEP,Middle Tennessee,13,20,A
2024,Michigan State,Indiana,10,47,A
2024,Houston,Kansas State,24,19,H
2024,Troy,Coastal Carolina,38,24,H
2024,New Mexico,Wyoming,45,49,A
2024,Rice,Navy,24,10,H
2024,Mississippi State,Massachusetts,45,20,H
2024,Fresno State,Hawaii,20,21,A
2024,Iowa,Wisconsin,42,10,H
2024,Washington,USC,26,21,H
2024,South Carolina,Texas A&M,44,20,H
2024,Clemson,Louisville,21,33,A
2024,South Alabama,Georgia Southern,30,34,A
2024,Tennessee,Kentucky,28,18,H
2024,SMU,Pittsburgh,48,25,H
2024,Baylor,TCU,37,34,H
2024,Nevada,Colorado State,21,38,A
2024,Central Michigan,Bowling Green,13,23,A
2024,Ball State,Miami (OH),21,27,A
2024,Western Michigan,Northern Illinois,28,42,A
2024,Kent State,Ohio,0,41,A
2024,East Carolina,Florida Atlantic,49,14,H
2024,Coastal Carolina,Appalachian State,38,24,H
2024,Wake Forest,California,36,46,A
2024,Memphis,Rice,27,20,H
2024,UCLA,Iowa,20,17,H
2024,San Diego State,New Mexico,16,21,A
2024,Ohio State,Purdue,45,0,H
2024,Cincinnati,West Virginia,24,31,A
2024,Rutgers,Minnesota,26,19,H
2024,Boston College,Syracuse,37,31,H
2024,Georgia Tech,Miami (FL),28,23,H
2024,Texas,Florida,49,17,H
2024,USF,Navy,7,28,A
2024,UL-Monroe,Texas State,17,38,A
2024,Middle Tennessee,Liberty,17,37,A
2024,UAB,Connecticut,23,31,A
2024,Southern Miss,Marshall,3,37,A
2024,Kansas,Iowa State,45,36,H
2024,Ole Miss,Georgia,28,10,H
2024,Indiana,Michigan,20,15,H
2024,James Madison,Georgia State,38,7,H
2024,North Texas,Army,3,14,A
2024,Oregon State,San Jose State,13,24,A
2024,NC State,Duke,19,29,A
2024,Virginia Tech,Clemson,14,24,A
2024,Texas Tech,Colorado,27,41,A
2024,UTEP,Kennesaw State,43,35,H
